schlcode,school_enrollment,grade,classize,avgmath,avgverb,disadvantaged,female,religious
11106,58,5,29,78,80,3,1,0
11106,58,5,29,78,86,3,1,0
11108,12,5,12,49,57,54,0,1
11109,119,5,24,64,72,5,0,0
11109,119,5,26,71,83,5,0,0
11109,119,5,32,67,81,5,0,0
11109,119,5,26,63,71,5,0,0
11111,106,5,33,64,75,5,1,0
11111,106,5,30,56,73,5,1,0
11111,106,5,31,62,77,5,1,0
11115,57,5,30,58,77,11,0,1
11115,57,5,27,62,73,11,0,1
11117,66,5,28,63,67,31,0,0
11117,66,5,27,58,63,31,0,0
11119,83,5,29,48,76,21,1,1
11119,83,5,24,56,69,21,1,1
11119,83,5,30,63,82,21,1,1
11120,106,5,35,54,72,2,0,0
11120,106,5,35,55,69,2,0,0
11120,106,5,36,58,75,2,0,0
11126,47,5,22,54,66,16,1,1
11126,47,5,25,55,66,16,1,1
11127,29,5,29,63,78,6,1,0
11128,79,5,22,81,79,12,1,1
11128,79,5,31,74,78,12,1,1
11128,79,5,26,75,80,12,1,1
11132,106,5,35,61,76,9,0,1
11132,106,5,32,67,76,9,0,1
11132,106,5,31,56,74,9,0,1
11133,29,5,29,72,80,7,0,1
11134,60,5,28,70,85,2,1,0
11134,60,5,32,70,83,2,1,0
11135,65,5,33,80,81,4,1,0
11135,65,5,32,72,79,4,1,0
11144,80,5,27,56,66,10,1,0
11144,80,5,26,60,70,10,1,0
11144,80,5,27,62,62,10,1,0
11150,101,5,34,73,74,2,1,0
11150,101,5,33,66,71,2,1,0
11150,101,5,34,69,71,2,1,0
11151,42,5,22,49,69,42,1,1
11151,42,5,20,49,53,42,1,1
11152,68,5,34,73,74,5,0,0
11152,68,5,34,76,80,5,0,0
11159,50,5,26,75,81,17,1,1
11159,50,5,24,59,70,17,1,1
11161,40,5,18,62,77,19,1,1
11161,40,5,22,62,73,19,1,1
11165,21,5,21,78,78,1,0,0
11168,24,5,24,58,73,5,0,0
11170,67,5,43,74,85,2,0,1
11170,67,5,24,78,86,2,0,1
11171,74,5,33,71,77,8,1,1
11171,74,5,41,63,70,8,1,1
11172,13,5,13,81,86,7,1,1
11181,64,5,32,68,72,8,1,0
11181,64,5,32,60,73,8,1,0
11182,46,5,23,69,79,9,1,1
11182,46,5,23,75,83,9,1,1
11183,79,5,39,64,78,1,0,0
11183,79,5,40,68,76,1,0,0
11184,81,5,41,75,79,5,0,1
11184,81,5,40,78,83,5,0,1
11187,115,5,37,68,75,4,0,0
11187,115,5,39,74,79,4,0,0
11187,115,5,40,84,81,4,0,0
11188,60,5,25,47,71,12,1,0
11188,60,5,30,39,57,12,1,0
11189,32,5,32,81,77,11,1,1
11190,81,5,27,63,70,5,0,0
11190,81,5,27,68,77,5,0,0
11190,81,5,27,73,72,5,0,0
11196,28,5,28,73,81,0,0,1
11201,99,5,35,67,78,3,0,0
11201,99,5,30,72,81,3,0,0
11201,99,5,34,71,78,3,0,0
11203,23,5,23,67,82,0,0,0
11205,20,5,20,70,78,3,0,1
11207,75,5,25,62,64,10,0,0
11207,75,5,27,67,68,10,0,0
11207,75,5,23,70,75,10,0,0
11209,33,5,33,59,76,0,0,0
11212,32,5,32,78,83,2,0,1
11213,101,5,36,75,77,7,1,0
11213,101,5,32,69,75,7,1,0
11213,101,5,33,71,82,7,1,0
11217,102,5,31,55,68,5,0,0
11217,102,5,35,65,71,5,0,0
11217,102,5,36,64,71,5,0,0
11218,107,5,32,74,78,6,1,0
11218,107,5,31,68,67,6,1,0
11218,107,5,32,66,72,6,1,0
11219,22,5,22,80,79,3,0,0
11220,138,5,36,65,76,4,0,0
11220,138,5,34,76,79,4,0,0
11220,138,5,34,73,85,4,0,0
11220,138,5,34,80,83,4,0,0
11221,94,5,38,71,80,11,0,1
11222,75,5,26,68,79,3,1,1
11222,75,5,25,67,76,3,1,1
11222,75,5,24,66,70,3,1,1
11225,70,5,25,74,77,2,1,1
11227,114,5,33,67,81,0,1,0
11227,114,5,34,69,78,0,1,0
11227,114,5,35,66,77,0,1,0
11228,39,5,39,68,73,19,1,1
11233,53,5,28,64,76,11,0,1
11233,53,5,25,61,73,11,0,1
11234,214,5,34,66,74,10,0,0
11234,214,5,34,73,75,10,0,0
11234,214,5,34,65,78,10,0,0
11234,214,5,34,73,77,10,0,0
11235,39,5,40,63,79,8,0,0
11238,32,5,32,68,76,1,0,0
11239,71,5,36,62,73,3,0,1
11239,71,5,35,69,80,3,0,1
11247,64,5,29,56,63,5,1,0
11247,64,5,35,57,69,5,1,0
11248,154,5,38,72,71,5,0,0
11248,154,5,39,69,75,5,0,0
11248,154,5,38,60,71,5,0,0
11248,154,5,39,66,79,5,0,0
11249,20,5,20,67,83,15,0,1
11250,125,5,38,68,75,8,0,0
11250,125,5,36,68,74,8,0,0
11250,125,5,36,66,72,8,0,0
11251,10,5,10,75,84,8,1,1
11256,30,5,30,72,78,3,0,0
11257,21,5,21,62,67,5,1,1
11258,59,5,23,72,78,3,0,0
11258,59,5,25,72,72,3,0,0
11259,58,5,19,67,78,0,0,0
11259,58,5,21,62,83,0,0,0
11281,29,5,29,76,85,3,1,1
11295,22,5,15,56,72,5,1,1
11307,30,5,30,75,75,5,0,0
11317,28,5,28,66,74,0,0,1
21005,22,5,22,69,81,0,0,0
21006,63,5,31,65,82,2,0,0
21006,63,5,32,62,79,2,0,0
21010,18,5,18,63,71,43,0,1
21012,33,5,33,67,84,1,1,0
21013,24,5,24,87,88,0,1,0
21021,21,5,21,66,76,0,0,0
21026,95,5,26,74,75,27,1,0
21026,95,5,25,70,72,27,1,0
21026,95,5,26,57,69,27,1,0
21026,95,5,9,67,75,27,1,0
21028,42,5,27,62,66,40,1,0
21029,42,5,22,61,66,44,1,1
21029,42,5,20,59,71,44,1,1
21030,42,5,33,58,65,65,0,1
21031,52,5,26,64,74,36,0,1
21031,52,5,26,72,76,36,0,1
21032,51,5,24,56,70,13,0,0
21032,51,5,27,59,68,13,0,0
21041,23,5,23,69,85,3,1,0
21042,37,5,26,51,78,0,1,0
21043,45,5,23,62,78,1,0,0
21043,45,5,22,59,82,1,0,0
21048,81,5,27,72,70,13,0,0
21048,81,5,26,62,71,13,0,0
21048,81,5,28,70,76,13,0,0
21050,54,5,26,68,77,3,0,0
21050,54,5,28,72,85,3,0,0
21052,24,5,24,66,84,0,1,0
21057,51,5,25,72,89,2,1,0
21057,51,5,26,66,83,2,1,0
21064,52,5,25,57,70,1,0,0
21064,52,5,27,55,69,1,0,0
21065,14,5,14,71,86,0,1,0
21067,45,5,21,64,62,38,1,0
21067,45,5,24,59,62,38,1,0
21068,59,5,30,57,73,33,0,1
21068,59,5,29,64,70,33,0,1
21069,114,5,34,59,67,16,0,0
21069,114,5,36,69,72,16,0,0
21069,114,5,33,68,68,16,0,0
21070,120,5,36,55,58,14,1,0
21070,120,5,35,70,72,14,1,0
21070,120,5,35,58,64,14,1,0
21073,95,5,31,76,77,16,0,0
21073,95,5,30,64,66,16,0,0
21073,95,5,34,67,73,16,0,0
21074,42,5,21,38,44,52,1,0
21074,42,5,21,42,46,52,1,0
21077,25,5,25,46,58,48,0,1
21078,85,5,29,58,62,36,1,1
21078,85,5,29,55,71,36,1,1
21078,85,5,27,60,72,36,1,1
21079,31,5,31,48,57,60,0,1
21080,24,5,24,59,69,14,0,0
21081,24,5,24,51,65,49,1,1
21088,35,5,35,71,78,7,1,0
21089,65,5,33,69,71,14,1,0
21089,65,5,32,80,76,14,1,0
21090,29,5,21,69,78,42,1,1
21091,22,5,22,61,80,0,0,0
21093,41,5,20,72,81,0,1,0
21093,41,5,21,68,85,0,1,0
21094,80,5,41,58,75,3,0,0
21094,80,5,39,62,76,3,0,0
21095,22,5,22,69,78,2,1,0
21096,60,5,23,69,83,3,1,0
21096,60,5,24,76,83,3,1,0
21097,53,5,27,62,80,0,1,0
21097,53,5,26,59,80,0,1,0
21102,65,5,33,73,85,8,0,0
21102,65,5,32,77,86,8,0,0
21105,18,5,18,69,82,0,1,0
21111,33,5,22,66,66,49,0,1
21112,94,5,30,54,73,7,0,1
21112,94,5,31,56,69,7,0,1
21112,94,5,33,49,74,7,0,1
21114,20,5,20,70,79,1,0,0
21116,15,5,15,70,85,25,0,0
21117,72,5,29,75,69,21,0,0
21117,72,5,30,81,72,21,0,0
21118,88,5,37,71,78,24,0,0
21118,88,5,37,66,76,24,0,0
21119,30,5,20,47,72,63,1,1
21123,17,5,17,78,78,0,1,0
21126,20,5,20,76,80,3,1,0
21127,46,5,21,52,60,43,1,1
21127,46,5,25,68,75,43,1,1
21130,23,5,23,54,66,22,1,0
21132,66,5,28,75,85,0,0,0
21132,66,5,28,73,80,0,0,0
21134,23,5,23,73,81,10,0,0
21137,87,5,29,61,74,18,0,0
21137,87,5,30,61,71,18,0,0
21137,87,5,28,62,77,18,0,0
21138,25,5,25,58,76,48,0,1
21141,16,5,16,74,81,0,0,0
21144,51,5,25,82,84,1,0,0
21144,51,5,26,78,84,1,0,0
21145,82,5,27,85,86,3,0,0
21145,82,5,29,79,85,3,0,0
21145,82,5,26,76,84,3,0,0
21146,48,5,24,68,67,17,1,0
21146,48,5,24,64,75,17,1,0
21147,124,5,39,71,77,3,1,0
21147,124,5,38,69,78,3,1,0
21147,124,5,37,73,72,3,1,0
21148,42,5,22,49,64,38,0,0
21148,42,5,20,47,64,38,0,0
21149,92,5,31,54,67,20,1,0
21149,92,5,30,56,63,20,1,0
21149,92,5,31,63,75,20,1,0
21151,120,5,40,70,80,4,1,0
21151,120,5,40,69,77,4,1,0
21151,120,5,40,73,82,4,1,0
21153,24,5,24,62,74,30,1,1
21160,41,5,27,62,73,24,0,0
21160,41,5,27,43,61,24,0,0
21162,52,5,40,60,64,22,1,0
21163,26,5,26,54,69,20,1,0
21166,23,5,24,68,86,2,1,0
21168,43,5,21,73,85,0,0,0
21168,43,5,22,73,81,0,0,0
21171,23,5,23,79,88,0,1,0
21173,34,5,34,64,80,4,0,0
21175,42,5,22,65,77,0,1,0
21175,42,5,20,60,79,0,1,0
21176,12,5,12,64,69,3,0,0
21178,48,5,27,58,73,21,0,0
21178,48,5,21,64,57,21,0,0
21179,113,5,34,66,72,23,0,0
21179,113,5,32,59,58,23,0,0
21179,113,5,32,64,72,23,0,0
21181,83,5,37,69,84,15,0,0
21181,83,5,34,65,77,15,0,0
21182,54,5,25,56,62,5,1,0
21182,54,5,29,53,66,5,1,0
21184,46,5,23,72,76,33,1,1
21184,46,5,23,77,77,33,1,1
21185,38,5,19,57,74,35,1,1
21185,38,5,19,61,70,35,1,1
21190,72,5,32,57,57,30,1,0
21190,72,5,32,66,68,30,1,0
21191,128,5,40,72,75,11,1,0
21191,128,5,40,72,75,11,1,0
21191,128,5,39,69,73,11,1,0
21192,81,5,36,58,64,20,1,0
21192,81,5,36,51,56,20,1,0
21194,86,5,29,57,59,28,1,1
21194,86,5,29,61,67,28,1,1
21194,86,5,28,81,88,28,1,1
21195,48,5,21,55,65,71,0,1
21195,48,5,27,42,59,71,0,1
21196,41,5,20,45,63,76,1,1
21196,41,5,21,39,55,76,1,1
21200,24,5,24,82,83,5,0,0
21201,27,5,14,60,63,49,0,1
21201,27,5,13,48,55,49,0,1
21203,56,5,27,69,78,8,1,0
21203,56,5,29,66,75,8,1,0
21204,27,5,27,65,75,41,1,0
21205,75,5,36,69,72,21,0,0
21205,75,5,39,64,75,21,0,0
21206,35,5,35,63,72,32,0,1
21208,60,5,27,60,65,40,1,0
21208,60,5,33,65,72,40,1,0
21209,75,5,38,62,68,41,0,0
21209,75,5,37,75,77,41,0,0
21210,66,5,33,69,72,46,1,0
21210,66,5,33,68,66,46,1,0
21211,22,5,22,66,58,56,0,1
21212,56,5,28,66,75,44,0,1
21212,56,5,28,68,65,44,0,1
21213,22,5,22,72,81,0,0,0
21214,34,5,34,71,80,4,1,0
21215,41,5,21,71,82,3,1,0
21215,41,5,20,72,85,3,1,0
21221,52,5,25,67,73,6,0,0
21221,52,5,27,75,79,6,0,0
21227,109,5,32,61,81,4,0,1
21227,109,5,31,50,72,4,0,1
21227,109,5,31,60,80,4,0,1
21229,12,5,12,50,77,5,1,1
21235,25,5,25,44,63,35,1,0
21236,44,5,24,63,76,35,0,1
21236,44,5,20,63,64,35,0,1
21241,43,5,22,66,77,2,0,0
21241,43,5,21,72,79,2,0,0
21258,20,5,20,51,70,63,0,1
21265,58,5,32,64,72,34,1,0
21265,58,5,26,69,77,34,1,0
21268,99,5,28,64,65,38,0,1
21268,99,5,28,51,60,38,0,1
21273,34,5,23,56,65,33,0,0
21275,21,5,21,60,75,11,1,0
21276,23,5,23,58,73,59,1,1
21277,59,5,29,54,68,11,1,0
21277,59,5,30,46,58,11,1,0
21279,50,5,26,69,73,34,1,1
21279,50,5,24,64,68,34,1,1
21280,17,5,17,69,77,7,0,0
21281,48,5,27,71,77,43,0,1
21281,48,5,21,75,77,43,0,1
21282,65,5,27,68,72,31,0,0
21282,65,5,27,59,72,31,0,0
21285,24,5,24,56,63,45,1,0
21293,50,5,25,69,75,27,1,0
21293,50,5,25,67,75,27,1,0
21307,86,5,40,68,70,10,1,0
21307,86,5,40,68,75,10,1,0
21310,64,5,26,73,79,44,0,1
21310,64,5,26,54,69,44,0,1
21312,70,5,36,64,76,10,1,0
21312,70,5,34,54,77,10,1,0
21313,45,5,23,62,86,3,1,0
21313,45,5,22,67,84,3,1,0
21315,74,5,27,65,84,8,0,1
21316,33,5,11,58,64,24,1,1
21316,33,5,22,50,64,24,1,1
21322,100,5,33,67,69,24,0,0
21322,100,5,33,71,69,24,0,0
21322,100,5,34,74,73,24,0,0
21323,48,5,25,74,85,4,0,0
21323,48,5,23,65,85,4,0,0
21327,45,5,23,76,78,1,1,0
21327,45,5,22,70,82,1,1,0
21328,80,5,40,60,65,12,0,0
21328,80,5,40,64,69,12,0,0
21330,74,5,37,49,74,6,1,0
21330,74,5,37,51,75,6,1,0
21331,57,5,31,65,75,19,1,0
21331,57,5,26,58,65,19,1,0
21338,89,5,38,65,77,5,1,0
21338,89,5,40,57,73,5,1,0
21340,60,5,30,65,75,30,1,0
21340,60,5,30,51,64,30,1,0
21341,120,5,40,67,76,0,0,0
21341,120,5,40,64,73,0,0,0
21341,120,5,40,67,80,0,0,0
21350,74,5,30,69,68,32,0,0
21350,74,5,28,61,64,32,0,0
21351,43,5,21,72,86,0,0,0
21351,43,5,22,77,90,0,0,0
21356,58,5,29,69,71,28,1,1
21356,58,5,29,60,68,28,1,1
21357,19,5,19,69,77,0,0,1
21359,43,5,21,54,71,10,0,1
21359,43,5,22,60,71,10,0,1
21361,105,5,39,54,73,2,0,0
21361,105,5,33,58,65,2,0,0
21361,105,5,33,54,76,2,0,0
21362,62,5,31,62,70,13,1,0
21362,62,5,31,72,74,13,1,0
21363,149,5,38,71,75,9,0,0
21363,149,5,28,56,71,9,0,0
21363,149,5,35,60,72,9,0,0
21363,149,5,38,68,73,9,0,0
21366,133,5,32,74,87,1,1,0
21366,133,5,34,75,81,1,1,0
21366,133,5,33,72,76,1,1,0
21366,133,5,34,74,82,1,1,0
21367,131,5,32,62,76,3,0,0
21367,131,5,34,68,77,3,0,0
21367,131,5,33,60,79,3,0,0
21367,131,5,32,67,81,3,0,0
21370,68,5,34,67,73,9,0,0
21370,68,5,34,75,73,9,0,0
21371,79,5,39,66,77,3,0,0
21371,79,5,40,79,86,3,0,0
21373,50,5,25,82,84,1,1,0
21373,50,5,25,79,85,1,1,0
21374,47,5,24,83,84,0,1,0
21374,47,5,23,85,84,0,1,0
21375,78,5,39,55,63,11,0,0
21375,78,5,39,54,63,11,0,0
21379,70,5,35,69,78,12,0,0
21379,70,5,35,70,70,12,0,0
31001,72,5,30,63,60,31,0,0
31001,72,5,28,63,62,31,0,0
31002,60,5,23,73,80,41,1,1
31002,60,5,29,67,65,41,1,1
31007,62,5,22,80,83,7,0,0
31007,62,5,22,70,79,7,0,0
31008,18,5,18,62,63,42,1,1
31012,19,5,19,55,74,4,0,0
31017,95,5,33,66,71,12,0,0
31017,95,5,30,66,77,12,0,0
31017,95,5,32,66,74,12,0,0
31019,20,5,20,69,70,32,1,1
31021,74,5,31,45,63,32,1,0
31021,74,5,31,54,69,32,1,0
31022,134,5,40,61,74,7,0,0
31022,134,5,41,65,79,7,0,0
31022,134,5,40,61,78,7,0,0
31023,145,5,36,70,78,5,1,0
31023,145,5,37,83,80,5,1,0
31023,145,5,36,54,67,5,1,0
31023,145,5,36,66,72,5,1,0
31025,71,5,27,68,74,17,0,0
31025,71,5,32,63,71,17,0,0
31026,48,5,35,57,67,30,0,0
31027,87,5,35,78,80,10,0,0
31027,87,5,37,73,81,10,0,0
31028,61,5,23,55,70,13,0,0
31028,61,5,25,52,70,13,0,0
31029,17,5,17,64,63,58,0,1
31030,45,5,23,63,68,31,0,1
31030,45,5,22,58,71,31,0,1
31031,44,5,20,68,72,41,0,1
31031,44,5,24,74,72,41,0,1
31033,26,5,26,47,60,41,0,1
31034,14,5,14,78,75,36,0,1
31035,59,5,35,68,78,26,1,1
31035,59,5,34,63,71,26,1,1
31037,158,5,40,80,83,1,1,0
31037,158,5,40,80,86,1,1,0
31037,158,5,40,80,82,1,1,0
31037,158,5,38,86,85,1,1,0
31038,112,5,33,70,79,1,0,0
31038,112,5,32,81,83,1,0,0
31038,112,5,30,70,81,1,0,0
31039,153,5,39,77,81,3,0,0
31039,153,5,38,81,84,3,0,0
31039,153,5,38,74,80,3,0,0
31039,153,5,38,80,83,3,0,0
31040,44,5,40,80,84,4,0,0
31045,84,5,35,72,84,8,1,0
31045,84,5,37,67,73,8,1,0
31046,42,5,32,61,72,10,0,0
31047,171,5,35,75,68,3,0,0
31047,171,5,34,66,80,3,0,0
31047,171,5,35,68,73,3,0,0
31047,171,5,27,94,94,3,0,0
31048,55,5,20,58,77,11,0,0
31048,55,5,12,72,77,11,0,0
31049,59,5,27,87,85,2,0,0
31049,59,5,32,82,85,2,0,0
31052,85,5,28,85,84,2,0,0
31052,85,5,29,86,87,2,0,0
31052,85,5,28,85,87,2,0,0
31055,71,5,37,78,86,3,0,0
31055,71,5,34,76,85,3,0,0
31056,90,5,33,68,73,4,0,0
31056,90,5,36,70,81,4,0,0
31060,78,5,29,62,68,13,1,0
31060,78,5,29,57,71,13,1,0
31062,154,5,34,68,77,5,0,0
31062,154,5,37,75,82,5,0,0
31062,154,5,35,69,74,5,0,0
31062,154,5,38,77,80,5,0,0
31063,41,5,21,69,80,6,1,0
31063,41,5,20,69,79,6,1,0
31067,71,5,26,61,77,17,1,0
31067,71,5,22,63,68,17,1,0
31068,48,5,24,64,67,15,0,0
31068,48,5,24,66,65,15,0,0
31069,69,5,24,63,82,6,0,0
31069,69,5,26,60,74,6,0,0
31070,47,5,37,70,75,11,0,0
31073,26,5,26,62,71,16,0,0
31075,80,5,37,85,89,6,0,0
31075,80,5,34,87,87,6,0,0
31077,77,5,26,74,68,13,0,0
31077,77,5,26,71,72,13,0,0
31078,90,5,39,82,78,4,1,0
31078,90,5,37,76,78,4,1,0
31079,79,5,20,70,76,12,0,1
31079,79,5,20,73,83,12,0,1
31079,79,5,32,59,74,12,0,1
31083,22,5,22,70,76,38,0,1
31084,64,5,33,80,84,8,1,1
31084,64,5,31,73,82,8,1,1
31085,23,5,23,52,70,28,0,1
31086,9,5,9,47,46,51,1,1
31087,66,5,33,76,85,5,1,1
31087,66,5,33,75,85,5,1,1
31089,52,5,26,64,65,15,0,0
31089,52,5,26,70,71,15,0,0
31090,116,5,29,67,66,17,1,0
31090,116,5,26,66,62,17,1,0
31090,116,5,28,68,69,17,1,0
31090,116,5,22,71,71,17,1,0
31092,16,5,16,59,73,23,1,1
31095,22,5,22,83,85,0,0,0
31097,118,5,40,58,77,10,0,0
31097,118,5,40,59,73,10,0,0
31097,118,5,38,60,72,10,0,0
31098,57,5,24,63,60,16,0,0
31098,57,5,9,67,64,16,0,0
31099,27,5,27,65,72,20,1,0
31100,144,5,34,69,76,10,0,0
31100,144,5,30,64,80,10,0,0
31100,144,5,35,55,70,10,0,0
31100,144,5,35,60,74,10,0,0
31101,40,5,40,57,60,50,0,1
31102,102,5,22,72,73,14,1,1
31102,102,5,22,74,84,14,1,1
31102,102,5,21,77,75,14,1,1
31102,102,5,22,74,77,14,1,1
31103,19,5,19,72,79,2,1,0
31107,63,5,31,64,79,7,0,0
31107,63,5,32,61,76,7,0,0
31108,21,5,21,77,82,28,1,1
31109,89,5,38,65,75,2,0,0
31109,89,5,37,69,78,2,0,0
31114,20,5,20,67,79,1,0,0
31115,17,5,17,63,73,0,0,0
31116,33,5,33,75,86,0,0,0
31120,16,5,16,66,74,11,1,1
31121,56,5,24,76,77,13,1,0
31121,56,5,20,60,64,13,1,0
31122,52,5,33,81,80,9,0,0
31122,52,5,33,73,78,9,0,0
31125,35,5,35,76,73,17,0,0
31129,43,5,21,61,81,2,1,0
31129,43,5,22,60,78,2,1,0
31130,20,5,20,68,79,2,1,0
31132,20,5,20,67,74,18,1,0
31133,40,5,40,66,73,19,1,0
31134,14,5,14,45,64,46,0,1
31135,100,5,29,67,76,6,0,0
31135,100,5,29,58,73,6,0,0
31135,100,5,32,57,67,6,0,0
31136,56,5,23,67,71,21,0,0
31136,56,5,23,69,77,21,0,0
31139,63,5,30,65,74,22,1,1
31139,63,5,33,61,73,22,1,1
31141,20,5,20,44,53,60,0,1
31143,112,5,36,74,79,4,1,0
31143,112,5,34,69,79,4,1,0
31143,112,5,32,73,74,4,1,0
31145,127,5,35,71,80,2,1,0
31145,127,5,36,78,82,2,1,0
31145,127,5,32,74,80,2,1,0
31148,92,5,34,60,74,14,0,0
31148,92,5,29,56,68,14,0,0
31148,92,5,29,60,66,14,0,0
31151,29,5,29,70,80,9,1,0
31152,51,5,26,74,80,5,0,0
31152,51,5,25,74,84,5,0,0
31153,99,5,28,78,85,2,1,0
31153,99,5,32,81,81,2,1,0
31153,99,5,28,76,79,2,1,0
31154,10,5,10,72,77,40,1,1
31156,117,5,36,69,78,6,0,0
31156,117,5,33,64,74,6,0,0
31156,117,5,30,62,78,6,0,0
31157,81,5,29,71,71,17,0,0
31157,81,5,30,67,69,17,0,0
31159,49,5,21,73,72,57,1,1
31160,95,5,30,54,74,5,0,0
31160,95,5,33,71,82,5,0,0
31160,95,5,32,62,77,5,0,0
31161,92,5,28,76,80,5,1,0
31161,92,5,30,78,82,5,1,0
31161,92,5,34,74,81,5,1,0
31162,69,5,34,72,82,13,0,1
31162,69,5,35,79,83,13,0,1
31164,25,5,25,76,82,15,1,0
31165,20,5,20,70,76,43,1,1
31167,14,5,14,81,86,4,0,0
31168,11,5,11,82,87,0,0,0
31188,127,5,34,61,67,15,0,0
31188,127,5,34,54,68,15,0,0
31188,127,5,35,62,67,15,0,0
31189,113,5,35,64,74,7,1,0
31189,113,5,30,63,78,7,1,0
31189,113,5,28,57,72,7,1,0
31207,44,5,31,52,75,9,0,0
31208,92,5,29,80,84,2,0,0
31208,92,5,30,68,75,2,0,0
31208,92,5,33,75,72,2,0,0
31209,92,5,38,77,85,8,0,0
31209,92,5,38,73,79,8,0,0
31210,78,5,40,81,83,3,0,0
31210,78,5,38,81,84,3,0,0
31212,29,5,29,56,66,44,1,1
31213,70,5,27,80,73,20,0,0
31213,70,5,29,79,77,20,0,0
31214,35,5,25,81,84,4,0,0
31216,150,5,38,78,84,6,0,0
31216,150,5,30,70,80,6,0,0
31216,150,5,33,74,80,6,0,0
31216,150,5,34,77,86,6,0,0
31217,116,5,34,48,52,26,0,0
31217,116,5,35,56,69,26,0,0
31217,116,5,34,59,72,26,0,0
31219,47,5,19,31,47,40,0,0
31219,47,5,19,47,54,40,0,0
31220,121,5,38,68,71,11,1,0
31220,121,5,38,76,76,11,1,0
31220,121,5,36,60,66,11,1,0
31222,42,5,21,64,67,44,1,1
31222,42,5,21,62,73,44,1,1
31224,22,5,22,49,52,50,1,1
31232,24,5,12,61,76,6,1,0
31235,100,5,31,75,77,3,1,0
31235,100,5,14,80,76,3,1,0
31235,100,5,28,76,78,3,1,0
31237,48,5,27,87,86,2,1,0
31237,48,5,21,77,83,2,1,0
31238,59,5,29,72,69,6,1,0
31238,59,5,30,69,73,6,1,0
31239,66,5,33,67,78,6,0,0
31239,66,5,33,70,82,6,0,0
31242,89,5,38,69,80,10,0,0
31242,89,5,39,63,71,10,0,0
31243,113,5,39,81,84,0,1,0
31243,113,5,36,77,85,0,1,0
31243,113,5,38,70,84,0,1,0
31250,117,5,38,63,80,7,0,0
31250,117,5,40,67,77,7,0,0
31250,117,5,39,56,70,7,0,0
31252,150,5,37,75,76,4,0,0
31252,150,5,37,73,81,4,0,0
31252,150,5,37,80,83,4,0,0
31253,59,5,26,61,72,23,1,1
31253,59,5,24,53,64,23,1,1
31255,21,5,21,59,61,46,1,1
31256,60,5,30,78,81,5,0,0
31256,60,5,30,79,79,5,0,0
31257,121,5,37,67,69,7,1,0
31257,121,5,36,86,84,7,1,0
31257,121,5,35,84,80,7,1,0
31259,43,5,24,56,77,31,1,1
31260,34,5,15,44,54,30,0,1
31261,130,5,38,65,72,6,0,0
31261,130,5,38,71,77,6,0,0
31261,130,5,37,70,87,6,0,0
31262,45,5,24,78,83,10,0,1
31262,45,5,21,65,82,10,0,1
31265,41,5,27,76,83,5,1,0
41001,36,5,23,81,83,8,1,0
41002,130,5,35,67,78,3,0,0
41002,130,5,37,74,81,3,0,0
41002,130,5,38,66,78,3,0,0
41003,41,5,21,69,73,31,0,1
41003,41,5,20,65,69,31,0,1
41006,15,5,15,68,72,19,1,1
41009,58,5,24,81,82,10,0,1
41009,58,5,24,75,81,10,0,1
41010,45,5,23,72,77,10,1,0
41010,45,5,22,55,61,10,1,0
41012,29,5,29,58,64,33,1,1
